Log datetime=2025-02-15 13:35:48 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4258 total = 12 seconds
Log datetime=2025-02-15 13:42:17 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4229 total = 3 seconds
Log datetime=2025-02-15 13:43:23 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4229 total = 9 seconds
Log datetime=2025-02-15 13:47:53 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4227 total = 8 seconds
Log datetime=2025-02-15 13:57:00 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4227 total = 3 seconds
Log datetime=2025-02-15 21:26:24 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4268 total = 3 seconds
Log datetime=2025-02-15 21:26:57 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4268 total = 3 seconds
Log datetime=2025-02-15 21:28:53 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4268 total = 13 seconds
Log datetime=2025-02-15 21:34:17 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4247 total = 2 seconds
Log datetime=2025-02-15 21:36:02 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4247 total = 2 seconds
Log datetime=2025-02-15 21:37:54 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4247 total = 3 seconds
Log datetime=2025-02-15 21:39:47 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4247 total = 14 seconds
Log datetime=2025-02-15 21:46:25 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4234 total = 3 seconds
Log datetime=2025-02-15 21:52:04 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4234 total = 13 seconds
Log datetime=2025-02-15 22:11:22 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4234 total = 12 seconds
Log datetime=2025-02-15 22:20:05 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4260 total = 3 seconds
Log datetime=2025-02-15 22:21:08 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4260 total = 28 seconds
Log datetime=2025-02-15 22:26:42 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4249 total = 10 seconds
Log datetime=2025-02-15 22:33:16 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4274 total = 3 seconds
Log datetime=2025-02-15 22:34:29 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4274 total = 14 seconds
Log datetime=2025-02-15 22:40:39 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4254 total = 3 seconds
Log datetime=2025-02-15 22:41:29 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4254 total = 3 seconds
Log datetime=2025-02-15 22:42:13 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4254 total = 3 seconds
Log datetime=2025-02-15 22:43:14 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4254 total = 3 seconds
Log datetime=2025-02-15 22:48:34 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4254 total = 3 seconds
Log datetime=2025-02-15 22:50:51 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4254 total = 27 seconds
Log datetime=2025-02-15 22:58:26 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4242 total = 27 seconds
Log datetime=2025-02-15 23:04:31 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4276 total = 3 seconds
Log datetime=2025-02-15 23:10:12 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4276 total = 17 seconds
Log datetime=2025-02-15 23:17:07 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4252 total = 14 seconds
Log datetime=2025-02-15 23:21:00 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4241 total = 5 seconds
Log datetime=2025-02-15 23:36:10 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4230 total = 2 seconds
Log datetime=2025-02-15 23:41:07 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4230 total = 2 seconds
Log datetime=2025-02-15 23:42:34 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-11, dashboard_id = 319,query_id=4230 total = 10 seconds
Log datetime=2025-02-16 21:54:18 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4230 total = 12 seconds
Log datetime=2025-02-16 22:05:31 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4267 total = 2 seconds
Log datetime=2025-02-16 22:07:00 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4267 total = 9 seconds
Log datetime=2025-02-16 22:17:04 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4264 total = 3 seconds
Log datetime=2025-02-16 22:19:08 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4264 total = 9 seconds
Log datetime=2025-02-16 22:24:16 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4268 total = 17 seconds
Log datetime=2025-02-16 22:34:36 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4271 total = 9 seconds
Log datetime=2025-02-16 22:39:08 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4263 total = 3 seconds
Log datetime=2025-02-16 22:40:38 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4263 total = 5 seconds
Log datetime=2025-02-16 22:48:48 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4236 total = 3 seconds
Log datetime=2025-02-16 22:49:58 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4236 total = 3 seconds
Log datetime=2025-02-16 22:53:18 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4236 total = 6 seconds
Log datetime=2025-02-16 23:40:04 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4235 total = 4 seconds
Log datetime=2025-02-16 23:42:08 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4235 total = 11 seconds
Log datetime=2025-02-16 23:46:12 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4261 total = 3 seconds
Log datetime=2025-02-16 23:47:06 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4261 total = 9 seconds
Log datetime=2025-02-16 23:55:13 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4275 total = 6 seconds
Log datetime=2025-02-16 23:57:10 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-12, dashboard_id = 319,query_id=4246 total = 5 seconds
Log datetime=2025-02-17 00:02:52 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4257 total = 5 seconds
Log datetime=2025-02-17 00:07:42 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4257 total = 2 seconds
Log datetime=2025-02-17 00:08:20 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4257 total = 9 seconds
Log datetime=2025-02-17 00:08:56 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4257 total = 5 seconds
Log datetime=2025-02-17 00:10:03 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4239 total = 6 seconds
